City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
120,Port Hedland,AU,2022-12-28 04:01:31,-20.3167,118.5667,96.85,36,20,8.05
121,Khomutovo,RU,2022-12-28 04:01:31,52.4658,104.4025,-1.59,86,81,1.95
122,Clyde River,CA,2022-12-28 04:01:31,70.4692,-68.5914,-10.97,84,75,12.66
123,Kavaratti,IN,2022-12-28 03:57:49,10.5669,72.642,82.06,77,0,14.5
124,Hamilton,US,2022-12-28 03:52:26,39.1834,-84.5333,33.75,86,40,6.91
125,Port Elizabeth,ZA,2022-12-28 04:01:32,-33.918,25.5701,63.1,86,8,9.78
126,Byron Bay,AU,2022-12-28 04:01:32,-28.65,153.6167,79.95,60,27,8.28
127,Lander,US,2022-12-28 04:01:33,42.833,-108.7307,43.39,74,78,20.45
128,Beloha,MG,2022-12-28 03:57:50,-25.1667,45.05,77.58,74,2,3.76
129,Trincomalee,LK,2022-12-28 04:01:34,8.5711,81.2335,79.77,80,16,12.19
130,Sisimiut,GL,2022-12-28 03:57:08,66.9395,-53.6735,12.0,74,19,13.22
131,Hofn,IS,2022-12-28 04:01:34,64.2539,-15.2082,24.1,80,99,12.15
132,Show Low,US,2022-12-28 04:01:34,34.2542,-110.0298,47.08,40,0,17.27
133,Vila Velha,BR,2022-12-28 04:01:07,-20.3297,-40.2925,75.94,89,97,5.01
134,Hermanus,ZA,2022-12-28 04:01:35,-34.4187,19.2345,62.8,82,68,3.89
135,Vysokogornyy,RU,2022-12-28 03:57:51,50.1167,139.15,11.03,88,100,3.4
136,Gubin,PL,2022-12-28 04:01:35,51.9496,14.7284,38.28,84,87,10.83
137,Lompoc,US,2022-12-28 04:01:36,34.6391,-120.4579,56.59,98,100,4.61
138,Srandakan,ID,2022-12-28 04:01:36,-7.9386,110.2506,84.47,70,98,13.13
139,Mazyr,BY,2022-12-28 03:57:52,52.0495,29.2456,32.99,92,99,14.72
140,Sitka,US,2022-12-28 04:01:37,57.0531,-135.33,37.29,87,100,3.44
141,Mahébourg,MU,2022-12-28 04:01:37,-20.4081,57.7,81.25,70,8,13.42
142,Kulhudhuffushi,MV,2022-12-28 04:01:37,6.6221,73.07,80.74,78,12,12.5
143,Benghazi,LY,2022-12-28 03:57:53,32.1167,20.0667,63.39,78,15,7.61
144,Ponta Delgada,PT,2022-12-28 04:01:38,37.7333,-25.6667,59.72,100,75,16.11
145,Alofi,NU,2022-12-28 04:01:38,-19.0595,-169.9187,81.0,72,81,5.14
146,Avarua,CK,2022-12-28 04:01:39,-21.2078,-159.775,78.64,74,56,9.95
147,La Ronge,CA,2022-12-28 04:01:39,55.1001,-105.2842,1.94,92,100,13.82
148,Beringovskiy,RU,2022-12-28 03:56:55,63.05,179.3167,-1.66,98,100,18.81
149,Teahupoo,PF,2022-12-28 04:01:40,-17.8333,-149.2667,71.56,75,4,11.14
150,Lepe,ES,2022-12-28 04:01:41,37.2548,-7.2043,56.19,54,7,5.77
151,Severobaykal'sk,RU,2022-12-28 04:01:41,55.65,109.3167,3.65,80,100,1.05
152,Şabyā,SA,2022-12-28 04:01:42,17.1495,42.6254,75.6,58,0,2.19
153,Raglan,NZ,2022-12-28 04:00:57,-37.8,174.8833,81.3,52,3,7.36
154,Oktyabr'skiy,RU,2022-12-28 03:57:07,54.4815,53.471,9.34,96,100,2.57
155,San Jose,US,2022-12-28 03:59:24,37.3394,-121.895,52.83,92,20,1.99
156,Tuatapere,NZ,2022-12-28 04:01:42,-46.1333,167.6833,68.85,69,10,6.73
157,Mahibadhoo,MV,2022-12-28 04:01:43,3.7833,72.9667,80.91,73,100,3.02
158,Lebu,CL,2022-12-28 04:01:43,-37.6167,-73.65,54.54,80,7,22.3
159,Chokurdakh,RU,2022-12-28 04:01:43,70.6333,147.9167,-25.29,100,97,6.62
160,Broome,US,2022-12-28 04:01:44,42.2506,-75.833,24.01,91,69,3.0
161,Severo-Kuril'sk,RU,2022-12-28 04:01:44,50.6789,156.125,31.8,79,80,22.3
162,São José do Belmonte,BR,2022-12-28 04:01:44,-7.8614,-38.7597,72.48,78,67,6.4
163,Agirish,RU,2022-12-28 04:01:45,61.9247,63.0231,-0.29,95,24,4.36
164,Necochea,AR,2022-12-28 04:01:45,-38.5473,-58.7368,61.41,82,100,15.93
165,Esperance,AU,2022-12-28 04:01:45,-33.8667,121.9,65.25,50,3,11.88
166,Hargeisa,SO,2022-12-28 04:01:46,9.56,44.065,57.43,94,28,9.4
167,Tura,IN,2022-12-28 04:01:46,25.5198,90.2201,67.12,37,0,2.13
168,Hambantota,LK,2022-12-28 04:01:47,6.1241,81.1185,79.14,94,20,3.44
169,Yellowknife,CA,2022-12-28 04:01:47,62.456,-114.3525,0.55,84,100,11.99
170,Nālūt,LY,2022-12-28 03:57:58,30.3333,10.85,51.3,61,0,7.74
171,Atar,MR,2022-12-28 04:01:48,20.5169,-13.0499,67.57,23,100,1.66
